feature_index,feature_name,raw_column,source_role,question_id,question_text,question_type,option_label,applicable_categories,is_missing_sentinel,train_positive_count
16,answer__are_these_dating_games_prominently_featured_or_a_strong__aaafc141__yes,answer__are_these_dating_games_prominently_featured_or_a_strong__aaafc141,radio,are_these_dating_games_prominently_featured_or_a_strong__aaafc141,Are these dating games prominently featured or a strong focus of the product?,radio,Yes,Game,false,5
17,answer__are_these_dating_games_prominently_featured_or_a_strong__aaafc141__inactive,answer__are_these_dating_games_prominently_featured_or_a_strong__aaafc141,radio,are_these_dating_games_prominently_featured_or_a_strong__aaafc141,Are these dating games prominently featured or a strong focus of the product?,radio,__INACTIVE__,Game,true,395
18,answer__are_these_dating_games_prominently_featured_or_a_strong__aaafc141__not_applicable,answer__are_these_dating_games_prominently_featured_or_a_strong__aaafc141,radio,are_these_dating_games_prominently_featured_or_a_strong__aaafc141,Are these dating games prominently featured or a strong focus of the product?,radio,__NOT_APPLICABLE__,Game,true,404
19,answer__are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1__no,answer__are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1,radio,are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1,"Are these depictions strictly limited to slapstick violence or bloodless, unrealistic, and cartoony depictions?",radio,No,All Other App Types,false,4
20,answer__are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1__yes,answer__are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1,radio,are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1,"Are these depictions strictly limited to slapstick violence or bloodless, unrealistic, and cartoony depictions?",radio,Yes,All Other App Types,false,3
21,answer__are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1__inactive,answer__are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1,radio,are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1,"Are these depictions strictly limited to slapstick violence or bloodless, unrealistic, and cartoony depictions?",radio,__INACTIVE__,All Other App Types,true,387
22,answer__are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1__not_applicable,answer__are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1,radio,are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1,"Are these depictions strictly limited to slapstick violence or bloodless, unrealistic, and cartoony depictions?",radio,__NOT_APPLICABLE__,All Other App Types,true,416
23,answer__are_these_gambling_themes_prominently_featured_or_a_stro_d54762be__no,answer__are_these_gambling_themes_prominently_featured_or_a_stro_d54762be,radio,are_these_gambling_themes_prominently_featured_or_a_stro_d54762be,Are these gambling themes prominently featured or a strong focus of the product?,radio,No,All Other App Types || Game,false,21
24,answer__are_these_gambling_themes_prominently_featured_or_a_stro_d54762be__yes,answer__are_these_gambling_themes_prominently_featured_or_a_stro_d54762be,radio,are_these_gambling_themes_prominently_featured_or_a_stro_d54762be,Are these gambling themes prominently featured or a strong focus of the product?,radio,Yes,All Other App Types || Game,false,9
25,answer__are_these_gambling_themes_prominently_featured_or_a_stro_d54762be__inactive,answer__are_these_gambling_themes_prominently_featured_or_a_stro_d54762be,radio,are_these_gambling_themes_prominently_featured_or_a_stro_d54762be,Are these gambling themes prominently featured or a strong focus of the product?,radio,__INACTIVE__,All Other App Types || Game,true,770
26,answer__are_these_gambling_themes_prominently_featured_or_a_stro_d54762be__not_applicable,answer__are_these_gambling_themes_prominently_featured_or_a_stro_d54762be,radio,are_these_gambling_themes_prominently_featured_or_a_stro_d54762be,Are these gambling themes prominently featured or a strong focus of the product?,radio,__NOT_APPLICABLE__,All Other App Types || Game,true,10
27,answer__are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0__no,answer__are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0,radio,are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0,Are these revealing outfits ever depicted in an erotic or provocative setting or context?,radio,No,All Other App Types || Game,false,28
28,answer__are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0__yes,answer__are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0,radio,are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0,Are these revealing outfits ever depicted in an erotic or provocative setting or context?,radio,Yes,All Other App Types || Game,false,9
29,answer__are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0__inactive,answer__are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0,radio,are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0,Are these revealing outfits ever depicted in an erotic or provocative setting or context?,radio,__INACTIVE__,All Other App Types || Game,true,763
30,answer__are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0__not_applicable,answer__are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0,radio,are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0,Are these revealing outfits ever depicted in an erotic or provocative setting or context?,radio,__NOT_APPLICABLE__,All Other App Types || Game,true,10
31,answer__can_illegal_or_recreational_drugs_be_referred_to_through_e887484f__no,answer__can_illegal_or_recreational_drugs_be_referred_to_through_e887484f,radio,can_illegal_or_recreational_drugs_be_referred_to_through_e887484f,Can illegal or recreational drugs be referred to through text or spoken about?,radio,No,All Other App Types,false,5
32,answer__can_illegal_or_recreational_drugs_be_referred_to_through_e887484f__yes,answer__can_illegal_or_recreational_drugs_be_referred_to_through_e887484f,radio,can_illegal_or_recreational_drugs_be_referred_to_through_e887484f,Can illegal or recreational drugs be referred to through text or spoken about?,radio,Yes,All Other App Types,false,5
33,answer__can_illegal_or_recreational_drugs_be_referred_to_through_e887484f__inactive,answer__can_illegal_or_recreational_drugs_be_referred_to_through_e887484f,radio,can_illegal_or_recreational_drugs_be_referred_to_through_e887484f,Can illegal or recreational drugs be referred to through text or spoken about?,radio,__INACTIVE__,All Other App Types,true,384
34,answer__can_illegal_or_recreational_drugs_be_referred_to_through_e887484f__not_applicable,answer__can_illegal_or_recreational_drugs_be_referred_to_through_e887484f,radio,can_illegal_or_recreational_drugs_be_referred_to_through_e887484f,Can illegal or recreational drugs be referred to through text or spoken about?,radio,__NOT_APPLICABLE__,All Other App Types,true,416
35,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b__no,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b,radio,can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b,Can innocent or defenseless characters be seriously injured or killed?,radio,No,All Other App Types || Game,false,102
36,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b__yes_with_penalties,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b,radio,can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b,Can innocent or defenseless characters be seriously injured or killed?,radio,"Yes, with penalties",All Other App Types || Game,false,10
37,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b__yes_without_penalties,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b,radio,can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b,Can innocent or defenseless characters be seriously injured or killed?,radio,"Yes, without penalties",All Other App Types || Game,false,9
38,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b__inactive,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b,radio,can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b,Can innocent or defenseless characters be seriously injured or killed?,radio,__INACTIVE__,All Other App Types || Game,true,679
39,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b__not_applicable,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b,radio,can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b,Can innocent or defenseless characters be seriously injured or killed?,radio,__NOT_APPLICABLE__,All Other App Types || Game,true,10
40,answer__can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d__no,answer__can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d,radio,can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d,Can interactions in the app be limited to invited friends only?,radio,No,All Other App Types || Social or Communication,false,101
41,answer__can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d__yes,answer__can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d,radio,can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d,Can interactions in the app be limited to invited friends only?,radio,Yes,All Other App Types || Social or Communication,false,7
42,answer__can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d__inactive,answer__can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d,radio,can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d,Can interactions in the app be limited to invited friends only?,radio,__INACTIVE__,All Other App Types || Social or Communication,true,296
43,answer__can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d__not_applicable,answer__can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d,radio,can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d,Can interactions in the app be limited to invited friends only?,radio,__NOT_APPLICABLE__,All Other App Types || Social or Communication,true,406
44,answer__can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62__no,answer__can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62,radio,can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62,Can interactions in the game be limited to invited friends only?,radio,No,Game,false,35
45,answer__can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62__yes,answer__can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62,radio,can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62,Can interactions in the game be limited to invited friends only?,radio,Yes,Game,false,2
46,answer__can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62__inactive,answer__can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62,radio,can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62,Can interactions in the game be limited to invited friends only?,radio,__INACTIVE__,Game,true,369
47,answer__can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62__not_applicable,answer__can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62,radio,can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62,Can interactions in the game be limited to invited friends only?,radio,__NOT_APPLICABLE__,Game,true,404
48,answer__can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a__no,answer__can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a,radio,can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a,Can playing these bingo games reward cash payouts or rewards of significant monetary value?,radio,No,All Other App Types || Game,false,10
49,answer__can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a__yes,answer__can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a,radio,can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a,Can playing these bingo games reward cash payouts or rewards of significant monetary value?,radio,Yes,All Other App Types || Game,false,27
50,answer__can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a__inactive,answer__can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a,radio,can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a,Can playing these bingo games reward cash payouts or rewards of significant monetary value?,radio,__INACTIVE__,All Other App Types || Game,true,763
51,answer__can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a__not_applicable,answer__can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a,radio,can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a,Can playing these bingo games reward cash payouts or rewards of significant monetary value?,radio,__NOT_APPLICABLE__,All Other App Types || Game,true,10
52,answer__can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2__no,answer__can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2,radio,can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2,"Can playing these casino games, lotteries, or racetrack betting games reward cash payouts or rewards of significant monetary value?",radio,No,All Other App Types || Game,false,10
53,answer__can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2__yes,answer__can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2,radio,can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2,"Can playing these casino games, lotteries, or racetrack betting games reward cash payouts or rewards of significant monetary value?",radio,Yes,All Other App Types || Game,false,17
54,answer__can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2__inactive,answer__can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2,radio,can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2,"Can playing these casino games, lotteries, or racetrack betting games reward cash payouts or rewards of significant monetary value?",radio,__INACTIVE__,All Other App Types || Game,true,773
55,answer__can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2__not_applicable,answer__can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2,radio,can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2,"Can playing these casino games, lotteries, or racetrack betting games reward cash payouts or rewards of significant monetary value?",radio,__NOT_APPLICABLE__,All Other App Types || Game,true,10
56,answer__can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35__no,answer__can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35,radio,can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35,Can the app contain any potentially offensive language? Please note that this does not refer to user-generated content.,radio,No,All Other App Types,false,89
57,answer__can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35__yes,answer__can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35,radio,can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35,Can the app contain any potentially offensive language? Please note that this does not refer to user-generated content.,radio,Yes,All Other App Types,false,20
58,answer__can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35__inactive,answer__can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35,radio,can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35,Can the app contain any potentially offensive language? Please note that this does not refer to user-generated content.,radio,__INACTIVE__,All Other App Types,true,285
59,answer__can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35__not_applicable,answer__can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35,radio,can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35,Can the app contain any potentially offensive language? Please note that this does not refer to user-generated content.,radio,__NOT_APPLICABLE__,All Other App Types,true,416
60,answer__can_the_app_contain_discriminatory_language_7368f4f4__no,answer__can_the_app_contain_discriminatory_language_7368f4f4,radio,can_the_app_contain_discriminatory_language_7368f4f4,Can the app contain discriminatory language?,radio,No,All Other App Types,false,16
61,answer__can_the_app_contain_discriminatory_language_7368f4f4__yes,answer__can_the_app_contain_discriminatory_language_7368f4f4,radio,can_the_app_contain_discriminatory_language_7368f4f4,Can the app contain discriminatory language?,radio,Yes,All Other App Types,false,4
62,answer__can_the_app_contain_discriminatory_language_7368f4f4__inactive,answer__can_the_app_contain_discriminatory_language_7368f4f4,radio,can_the_app_contain_discriminatory_language_7368f4f4,Can the app contain discriminatory language?,radio,__INACTIVE__,All Other App Types,true,374
63,answer__can_the_app_contain_discriminatory_language_7368f4f4__not_applicable,answer__can_the_app_contain_discriminatory_language_7368f4f4,radio,can_the_app_contain_discriminatory_language_7368f4f4,Can the app contain discriminatory language?,radio,__NOT_APPLICABLE__,All Other App Types,true,416
64,answer__can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815__no,answer__can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815,radio,can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815,"Can the app contain minor profanities (e.g., ""go to hell"")?",radio,No,All Other App Types,false,16
65,answer__can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815__yes,answer__can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815,radio,can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815,"Can the app contain minor profanities (e.g., ""go to hell"")?",radio,Yes,All Other App Types,false,4
66,answer__can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815__inactive,answer__can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815,radio,can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815,"Can the app contain minor profanities (e.g., ""go to hell"")?",radio,__INACTIVE__,All Other App Types,true,374
67,answer__can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815__not_applicable,answer__can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815,radio,can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815,"Can the app contain minor profanities (e.g., ""go to hell"")?",radio,__NOT_APPLICABLE__,All Other App Types,true,416
68,answer__can_the_app_contain_moderate_swearing_or_other_language__cdc1565c__no,answer__can_the_app_contain_moderate_swearing_or_other_language__cdc1565c,radio,can_the_app_contain_moderate_swearing_or_other_language__cdc1565c,Can the app contain moderate swearing or other language that could be considered moderately or significantly offensive?,radio,No,All Other App Types,false,17
69,answer__can_the_app_contain_moderate_swearing_or_other_language__cdc1565c__yes,answer__can_the_app_contain_moderate_swearing_or_other_language__cdc1565c,radio,can_the_app_contain_moderate_swearing_or_other_language__cdc1565c,Can the app contain moderate swearing or other language that could be considered moderately or significantly offensive?,radio,Yes,All Other App Types,false,3
70,answer__can_the_app_contain_moderate_swearing_or_other_language__cdc1565c__inactive,answer__can_the_app_contain_moderate_swearing_or_other_language__cdc1565c,radio,can_the_app_contain_moderate_swearing_or_other_language__cdc1565c,Can the app contain moderate swearing or other language that could be considered moderately or significantly offensive?,radio,__INACTIVE__,All Other App Types,true,374
71,answer__can_the_app_contain_moderate_swearing_or_other_language__cdc1565c__not_applicable,answer__can_the_app_contain_moderate_swearing_or_other_language__cdc1565c,radio,can_the_app_contain_moderate_swearing_or_other_language__cdc1565c,Can the app contain moderate swearing or other language that could be considered moderately or significantly offensive?,radio,__NOT_APPLICABLE__,All Other App Types,true,416
72,answer__can_the_app_contain_references_to_or_depictions_of_illeg_387441a4__no,answer__can_the_app_contain_references_to_or_depictions_of_illeg_387441a4,radio,can_the_app_contain_references_to_or_depictions_of_illeg_387441a4,"Can the app contain references to or depictions of illegal or recreational drugs? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews).",radio,No,All Other App Types,false,99
73,answer__can_the_app_contain_references_to_or_depictions_of_illeg_387441a4__yes,answer__can_the_app_contain_references_to_or_depictions_of_illeg_387441a4,radio,can_the_app_contain_references_to_or_depictions_of_illeg_387441a4,"Can the app contain references to or depictions of illegal or recreational drugs? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews).",radio,Yes,All Other App Types,false,10
74,answer__can_the_app_contain_references_to_or_depictions_of_illeg_387441a4__inactive,answer__can_the_app_contain_references_to_or_depictions_of_illeg_387441a4,radio,can_the_app_contain_references_to_or_depictions_of_illeg_387441a4,"Can the app contain references to or depictions of illegal or recreational drugs? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews).",radio,__INACTIVE__,All Other App Types,true,285
75,answer__can_the_app_contain_references_to_or_depictions_of_illeg_387441a4__not_applicable,answer__can_the_app_contain_references_to_or_depictions_of_illeg_387441a4,radio,can_the_app_contain_references_to_or_depictions_of_illeg_387441a4,"Can the app contain references to or depictions of illegal or recreational drugs? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews).",radio,__NOT_APPLICABLE__,All Other App Types,true,416
76,answer__can_the_app_contain_sexual_expletives_b9c51086__no,answer__can_the_app_contain_sexual_expletives_b9c51086,radio,can_the_app_contain_sexual_expletives_b9c51086,Can the app contain sexual expletives?,radio,No,All Other App Types,false,15
77,answer__can_the_app_contain_sexual_expletives_b9c51086__yes,answer__can_the_app_contain_sexual_expletives_b9c51086,radio,can_the_app_contain_sexual_expletives_b9c51086,Can the app contain sexual expletives?,radio,Yes,All Other App Types,false,5
78,answer__can_the_app_contain_sexual_expletives_b9c51086__inactive,answer__can_the_app_contain_sexual_expletives_b9c51086,radio,can_the_app_contain_sexual_expletives_b9c51086,Can the app contain sexual expletives?,radio,__INACTIVE__,All Other App Types,true,374
79,answer__can_the_app_contain_sexual_expletives_b9c51086__not_applicable,answer__can_the_app_contain_sexual_expletives_b9c51086,radio,can_the_app_contain_sexual_expletives_b9c51086,Can the app contain sexual expletives?,radio,__NOT_APPLICABLE__,All Other App Types,true,416
80,answer__can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618__no,answer__can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618,radio,can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618,"Can the app contain sexual material or nudity (except in a natural or scientific setting)? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews).",radio,No,All Other App Types,false,89
81,answer__can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618__yes,answer__can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618,radio,can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618,"Can the app contain sexual material or nudity (except in a natural or scientific setting)? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews).",radio,Yes,All Other App Types,false,20
82,answer__can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618__inactive,answer__can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618,radio,can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618,"Can the app contain sexual material or nudity (except in a natural or scientific setting)? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews).",radio,__INACTIVE__,All Other App Types,true,285
83,answer__can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618__not_applicable,answer__can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618,radio,can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618,"Can the app contain sexual material or nudity (except in a natural or scientific setting)? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews).",radio,__NOT_APPLICABLE__,All Other App Types,true,416
84,answer__can_the_app_contain_violent_material_content_that_seller_42d20972__no,answer__can_the_app_contain_violent_material_content_that_seller_42d20972,radio,can_the_app_contain_violent_material_content_that_seller_42d20972,"Can the app contain violent material? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews).",radio,No,All Other App Types,false,92
85,answer__can_the_app_contain_violent_material_content_that_seller_42d20972__yes,answer__can_the_app_contain_violent_material_content_that_seller_42d20972,radio,can_the_app_contain_violent_material_content_that_seller_42d20972,"Can the app contain violent material? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews).",radio,Yes,All Other App Types,false,17
86,answer__can_the_app_contain_violent_material_content_that_seller_42d20972__inactive,answer__can_the_app_contain_violent_material_content_that_seller_42d20972,radio,can_the_app_contain_violent_material_content_that_seller_42d20972,"Can the app contain violent material? Content that sellers create as part of the app catalog needs to be considered; however, this question does not refer to user-generated content (e.g., comments and reviews).",radio,__INACTIVE__,All Other App Types,true,285
