feature_index,feature_name
31,answer__can_illegal_or_recreational_drugs_be_referred_to_through_e887484f__no
32,answer__can_illegal_or_recreational_drugs_be_referred_to_through_e887484f__yes
33,answer__can_illegal_or_recreational_drugs_be_referred_to_through_e887484f__inactive
34,answer__can_illegal_or_recreational_drugs_be_referred_to_through_e887484f__not_applicable
35,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b__no
36,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b__yes_with_penalties
37,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b__yes_without_penalties
38,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b__inactive
39,answer__can_innocent_or_defenseless_characters_be_seriously_inju_2f1f1e8b__not_applicable
40,answer__can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d__no
41,answer__can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d__yes
42,answer__can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d__inactive
43,answer__can_interactions_in_the_app_be_limited_to_invited_friend_eceecc3d__not_applicable
44,answer__can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62__no
45,answer__can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62__yes
46,answer__can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62__inactive
47,answer__can_interactions_in_the_game_be_limited_to_invited_frien_88ea2f62__not_applicable
48,answer__can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a__no
49,answer__can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a__yes
50,answer__can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a__inactive
51,answer__can_playing_these_bingo_games_reward_cash_payouts_or_rew_07fc306a__not_applicable
52,answer__can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2__no
53,answer__can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2__yes
54,answer__can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2__inactive
55,answer__can_playing_these_casino_games_lotteries_or_racetrack_be_1b84b6e2__not_applicable
56,answer__can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35__no
57,answer__can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35__yes
58,answer__can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35__inactive
59,answer__can_the_app_contain_any_potentially_offensive_language_p_f3fe3d35__not_applicable
60,answer__can_the_app_contain_discriminatory_language_7368f4f4__no
61,answer__can_the_app_contain_discriminatory_language_7368f4f4__yes
62,answer__can_the_app_contain_discriminatory_language_7368f4f4__inactive
63,answer__can_the_app_contain_discriminatory_language_7368f4f4__not_applicable
64,answer__can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815__no
65,answer__can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815__yes
66,answer__can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815__inactive
67,answer__can_the_app_contain_minor_profanities_e_g_go_to_hell_4b2bd815__not_applicable
68,answer__can_the_app_contain_moderate_swearing_or_other_language__cdc1565c__no
69,answer__can_the_app_contain_moderate_swearing_or_other_language__cdc1565c__yes
70,answer__can_the_app_contain_moderate_swearing_or_other_language__cdc1565c__inactive
71,answer__can_the_app_contain_moderate_swearing_or_other_language__cdc1565c__not_applicable
72,answer__can_the_app_contain_references_to_or_depictions_of_illeg_387441a4__no
73,answer__can_the_app_contain_references_to_or_depictions_of_illeg_387441a4__yes
74,answer__can_the_app_contain_references_to_or_depictions_of_illeg_387441a4__inactive
75,answer__can_the_app_contain_references_to_or_depictions_of_illeg_387441a4__not_applicable
76,answer__can_the_app_contain_sexual_expletives_b9c51086__no
77,answer__can_the_app_contain_sexual_expletives_b9c51086__yes
78,answer__can_the_app_contain_sexual_expletives_b9c51086__inactive
79,answer__can_the_app_contain_sexual_expletives_b9c51086__not_applicable
80,answer__can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618__no
81,answer__can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618__yes
82,answer__can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618__inactive
83,answer__can_the_app_contain_sexual_material_or_nudity_except_in__ccdb3618__not_applicable
84,answer__can_the_app_contain_violent_material_content_that_seller_42d20972__no
85,answer__can_the_app_contain_violent_material_content_that_seller_42d20972__yes
86,answer__can_the_app_contain_violent_material_content_that_seller_42d20972__inactive
87,answer__can_the_app_contain_violent_material_content_that_seller_42d20972__not_applicable
88,answer__can_the_player_ever_use_alcohol_in_a_first_person_perspe_4e53d7c8__no
89,answer__can_the_player_ever_use_alcohol_in_a_first_person_perspe_4e53d7c8__yes
90,answer__can_the_player_ever_use_alcohol_in_a_first_person_perspe_4e53d7c8__inactive
91,answer__can_the_player_ever_use_alcohol_in_a_first_person_perspe_4e53d7c8__not_applicable
92,answer__can_the_player_ever_use_tobacco_in_a_first_person_perspe_929a7633__no
93,answer__can_the_player_ever_use_tobacco_in_a_first_person_perspe_929a7633__yes
94,answer__can_the_player_ever_use_tobacco_in_a_first_person_perspe_929a7633__inactive
95,answer__can_the_player_ever_use_tobacco_in_a_first_person_perspe_929a7633__not_applicable
96,answer__can_the_user_ever_use_alcohol_in_a_first_person_perspect_ffd9c98e__no
97,answer__can_the_user_ever_use_alcohol_in_a_first_person_perspect_ffd9c98e__yes
98,answer__can_the_user_ever_use_alcohol_in_a_first_person_perspect_ffd9c98e__inactive
99,answer__can_the_user_ever_use_alcohol_in_a_first_person_perspect_ffd9c98e__not_applicable
100,answer__can_the_user_ever_use_tobacco_in_a_first_person_perspect_b682c1a1__no
101,answer__can_the_user_ever_use_tobacco_in_a_first_person_perspect_b682c1a1__yes
102,answer__can_the_user_ever_use_tobacco_in_a_first_person_perspect_b682c1a1__inactive
103,answer__can_the_user_ever_use_tobacco_in_a_first_person_perspect_b682c1a1__not_applicable
104,answer__can_these_purchases_include_random_items_where_the_purch_cfc20feb__no
105,answer__can_these_purchases_include_random_items_where_the_purch_cfc20feb__yes
106,answer__can_these_purchases_include_random_items_where_the_purch_cfc20feb__inactive
107,answer__can_these_sexual_images_be_pornographic_dbe74343__no
108,answer__can_these_sexual_images_be_pornographic_dbe74343__yes
109,answer__can_these_sexual_images_be_pornographic_dbe74343__inactive
110,answer__can_these_sexual_images_be_pornographic_dbe74343__not_applicable
111,answer__can_these_sexual_images_depict_nudity_62b6c6d4__no
112,answer__can_these_sexual_images_depict_nudity_62b6c6d4__yes
113,answer__can_these_sexual_images_depict_nudity_62b6c6d4__inactive
114,answer__can_these_sexual_images_depict_nudity_62b6c6d4__not_applicable
115,answer__can_these_violent_images_be_gross_or_gory_a3d431d0__no
116,answer__can_these_violent_images_be_gross_or_gory_a3d431d0__yes
117,answer__can_these_violent_images_be_gross_or_gory_a3d431d0__inactive
118,answer__can_these_violent_images_be_gross_or_gory_a3d431d0__not_applicable
119,answer__can_this_app_contain_visual_depictions_of_illegal_or_rec_3788a7dc__no
120,answer__can_this_app_contain_visual_depictions_of_illegal_or_rec_3788a7dc__yes
121,answer__can_this_app_contain_visual_depictions_of_illegal_or_rec_3788a7dc__inactive
122,answer__can_this_app_contain_visual_depictions_of_illegal_or_rec_3788a7dc__not_applicable
123,answer__can_this_sexual_material_be_referred_to_through_text_or__cef4ac8f__no
124,answer__can_this_sexual_material_be_referred_to_through_text_or__cef4ac8f__yes
125,answer__can_this_sexual_material_be_referred_to_through_text_or__cef4ac8f__inactive
126,answer__can_this_sexual_material_be_referred_to_through_text_or__cef4ac8f__not_applicable
127,answer__can_this_sexual_material_be_visually_depicted_047f6e7c__no
128,answer__can_this_sexual_material_be_visually_depicted_047f6e7c__yes
129,answer__can_this_sexual_material_be_visually_depicted_047f6e7c__inactive
130,answer__can_this_sexual_material_be_visually_depicted_047f6e7c__not_applicable
131,answer__can_this_violent_material_be_referred_to_through_text_or_337488ea__no
132,answer__can_this_violent_material_be_referred_to_through_text_or_337488ea__yes
133,answer__can_this_violent_material_be_referred_to_through_text_or_337488ea__inactive
134,answer__can_this_violent_material_be_referred_to_through_text_or_337488ea__not_applicable
135,answer__can_this_violent_material_be_visually_depicted_9f0796c7__no
136,answer__can_this_violent_material_be_visually_depicted_9f0796c7__yes
137,answer__can_this_violent_material_be_visually_depicted_9f0796c7__inactive
138,answer__can_this_violent_material_be_visually_depicted_9f0796c7__not_applicable
139,answer__do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a__no
140,answer__do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a__yes
141,answer__do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a__inactive
142,answer__do_any_of_these_creatures_behave_or_respond_like_humans_bd1de18a__not_applicable
143,answer__do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50__no
144,answer__do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50__yes
145,answer__do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50__inactive
146,answer__do_any_of_these_sex_acts_feature_characters_that_appear__36d02e50__not_applicable
147,answer__do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5__no
148,answer__do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5__yes
149,answer__do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5__inactive
150,answer__do_these_outfits_ever_appear_to_be_out_of_place_such_as__6f8c32b5__not_applicable
151,answer__does_the_app_allow_users_to_purchase_digital_goods_43ad2835__no
152,answer__does_the_app_allow_users_to_purchase_digital_goods_43ad2835__yes
153,answer__does_the_app_allow_users_to_purchase_digital_goods_43ad2835__inactive
154,answer__does_the_app_allow_users_to_purchase_digital_goods_43ad2835__not_applicable
155,answer__does_the_app_contain_an_integrated_marketplace_for_these_6e119982__no
156,answer__does_the_app_contain_an_integrated_marketplace_for_these_6e119982__yes
157,answer__does_the_app_contain_an_integrated_marketplace_for_these_6e119982__inactive
158,answer__does_the_app_contain_an_integrated_marketplace_for_these_6e119982__not_applicable
159,answer__does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd__no
160,answer__does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd__yes
161,answer__does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd__inactive
162,answer__does_the_app_contain_any_bodily_functions_such_as_belchi_967792bd__not_applicable
163,answer__does_the_app_contain_any_potentially_offensive_language_b4cfa138__no
164,answer__does_the_app_contain_any_potentially_offensive_language_b4cfa138__yes
165,answer__does_the_app_contain_any_potentially_offensive_language_b4cfa138__inactive
166,answer__does_the_app_contain_any_potentially_offensive_language_b4cfa138__not_applicable
167,answer__does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7__no
168,answer__does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7__yes
169,answer__does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7__inactive
170,answer__does_the_app_contain_any_ratings_relevant_content_e_g_se_1bdb46b7__not_applicable
171,answer__does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8__no
172,answer__does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8__yes
173,answer__does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8__inactive
174,answer__does_the_app_contain_any_reference_to_or_use_of_drugs_al_2098b4f8__not_applicable
175,answer__does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264__no
176,answer__does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264__yes
177,answer__does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264__inactive
178,answer__does_the_app_contain_gambling_simulations_of_casino_gamb_e4e21264__not_applicable
179,answer__does_the_app_contain_inferences_of_references_to_or_depi_00223f58__no
180,answer__does_the_app_contain_inferences_of_references_to_or_depi_00223f58__yes
181,answer__does_the_app_contain_inferences_of_references_to_or_depi_00223f58__inactive
182,answer__does_the_app_contain_inferences_of_references_to_or_depi_00223f58__not_applicable
183,answer__does_the_app_contain_inferences_of_references_to_or_depi_23169d75__no
184,answer__does_the_app_contain_inferences_of_references_to_or_depi_23169d75__yes
185,answer__does_the_app_contain_inferences_of_references_to_or_depi_23169d75__inactive
186,answer__does_the_app_contain_inferences_of_references_to_or_depi_23169d75__not_applicable
187,answer__does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa__no
188,answer__does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa__yes
189,answer__does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa__inactive
190,answer__does_the_app_contain_pictures_or_sounds_likely_to_be_sca_dbbee0fa__not_applicable
191,answer__does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720__no
192,answer__does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720__yes
193,answer__does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720__inactive
194,answer__does_the_app_feature_or_promote_content_that_isn_t_part__94fe8720__not_applicable
195,answer__does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57__no
196,answer__does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57__yes
197,answer__does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57__inactive
198,answer__does_the_app_focus_on_promoting_or_selling_items_or_acti_fb2a4b57__not_applicable
199,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74__no
200,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74__yes_it_has_a_childlike_style_e_g_likely_to_appeal_to_younger_children
201,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74__yes_it_has_a_pixelated_style
202,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74__inactive
203,answer__does_the_app_have_a_pixelated_or_childlike_style_2122fb74__not_applicable
204,answer__does_the_app_have_a_pixelated_or_childlike_style_88e77522__no
205,answer__does_the_app_have_a_pixelated_or_childlike_style_88e77522__yes
206,answer__does_the_app_have_a_pixelated_or_childlike_style_88e77522__inactive
207,answer__does_the_app_have_a_pixelated_or_childlike_style_88e77522__not_applicable
208,answer__does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173__no
209,answer__does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173__yes
210,answer__does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173__inactive
211,answer__does_the_app_include_cash_rewards_gift_cards_play_to_ear_39e41173__not_applicable
212,answer__does_the_app_include_chat_moderation_cc9ff2ca__no
213,answer__does_the_app_include_chat_moderation_cc9ff2ca__yes
214,answer__does_the_app_include_chat_moderation_cc9ff2ca__inactive
215,answer__does_the_app_include_chat_moderation_cc9ff2ca__not_applicable
216,answer__does_the_app_include_the_ability_or_requirement_to_make__638d2bc0__no
217,answer__does_the_app_include_the_ability_or_requirement_to_make__638d2bc0__yes
218,answer__does_the_app_include_the_ability_or_requirement_to_make__638d2bc0__inactive
219,answer__does_the_app_include_the_ability_or_requirement_to_make__638d2bc0__not_applicable
220,answer__does_the_app_include_the_ability_or_requirement_to_wager_42ff0adb__no
221,answer__does_the_app_include_the_ability_or_requirement_to_wager_42ff0adb__yes
222,answer__does_the_app_include_the_ability_or_requirement_to_wager_42ff0adb__inactive
223,answer__does_the_app_include_the_ability_or_requirement_to_wager_42ff0adb__not_applicable
224,answer__does_the_app_include_the_ability_or_requirement_to_wager_a234c2e8__no
225,answer__does_the_app_include_the_ability_or_requirement_to_wager_a234c2e8__yes
226,answer__does_the_app_include_the_ability_or_requirement_to_wager_a234c2e8__inactive
227,answer__does_the_app_include_the_ability_or_requirement_to_wager_a234c2e8__not_applicable
228,answer__does_the_app_include_the_ability_or_requirement_to_wager_fdd45537__no
229,answer__does_the_app_include_the_ability_or_requirement_to_wager_fdd45537__yes
230,answer__does_the_app_include_the_ability_or_requirement_to_wager_fdd45537__inactive
231,answer__does_the_app_include_the_ability_or_requirement_to_wager_fdd45537__not_applicable
232,answer__does_the_app_include_the_ability_to_block_users_or_user__e8935808__no
233,answer__does_the_app_include_the_ability_to_block_users_or_user__e8935808__yes
234,answer__does_the_app_include_the_ability_to_block_users_or_user__e8935808__inactive
235,answer__does_the_app_include_the_ability_to_block_users_or_user__e8935808__not_applicable
236,answer__does_the_app_include_the_ability_to_report_users_or_user_04c5c153__no
237,answer__does_the_app_include_the_ability_to_report_users_or_user_04c5c153__yes
238,answer__does_the_app_include_the_ability_to_report_users_or_user_04c5c153__inactive
239,answer__does_the_app_include_the_ability_to_report_users_or_user_04c5c153__not_applicable
240,answer__does_the_app_natively_allow_users_to_interact_or_exchang_0814bcf5__no
241,answer__does_the_app_natively_allow_users_to_interact_or_exchang_0814bcf5__yes
242,answer__does_the_app_natively_allow_users_to_interact_or_exchang_0814bcf5__inactive
243,answer__does_the_app_natively_allow_users_to_interact_or_exchang_0814bcf5__not_applicable
244,answer__does_the_app_permit_the_public_sharing_of_nudity_54ca8431__no
245,answer__does_the_app_permit_the_public_sharing_of_nudity_54ca8431__yes
246,answer__does_the_app_permit_the_public_sharing_of_nudity_54ca8431__inactive
247,answer__does_the_app_permit_the_public_sharing_of_nudity_54ca8431__not_applicable
248,answer__does_the_app_permit_the_public_sharing_of_real_world_gra_809166c4__no
249,answer__does_the_app_permit_the_public_sharing_of_real_world_gra_809166c4__yes
250,answer__does_the_app_permit_the_public_sharing_of_real_world_gra_809166c4__inactive
251,answer__does_the_app_permit_the_public_sharing_of_real_world_gra_809166c4__not_applicable
252,answer__does_the_app_share_the_user_s_current_and_precise_physic_259a3f8a__no
253,answer__does_the_app_share_the_user_s_current_and_precise_physic_259a3f8a__yes
254,answer__does_the_app_share_the_user_s_current_and_precise_physic_259a3f8a__inactive
255,answer__does_the_app_share_the_user_s_current_and_precise_physic_259a3f8a__not_applicable
256,answer__does_the_app_take_place_in_a_realistic_or_historical_war_78e4413f__no
257,answer__does_the_app_take_place_in_a_realistic_or_historical_war_78e4413f__yes
258,answer__does_the_app_take_place_in_a_realistic_or_historical_war_78e4413f__inactive
259,answer__does_the_app_take_place_in_a_realistic_or_historical_war_78e4413f__not_applicable
260,answer__does_the_game_advocate_committing_acts_of_terrorism_e10f0658__no
261,answer__does_the_game_advocate_committing_acts_of_terrorism_e10f0658__yes
262,answer__does_the_game_advocate_committing_acts_of_terrorism_e10f0658__inactive
263,answer__does_the_game_advocate_committing_acts_of_terrorism_e10f0658__not_applicable
264,answer__does_the_game_contain_an_integrated_marketplace_for_thes_feb79fb9__no
265,answer__does_the_game_contain_an_integrated_marketplace_for_thes_feb79fb9__yes
266,answer__does_the_game_contain_an_integrated_marketplace_for_thes_feb79fb9__inactive
267,answer__does_the_game_contain_an_integrated_marketplace_for_thes_feb79fb9__not_applicable
268,answer__does_the_game_contain_any_bodily_functions_such_as_belch_7d053cfc__no
269,answer__does_the_game_contain_any_bodily_functions_such_as_belch_7d053cfc__yes
270,answer__does_the_game_contain_any_bodily_functions_such_as_belch_7d053cfc__inactive
271,answer__does_the_game_contain_any_bodily_functions_such_as_belch_7d053cfc__not_applicable
272,answer__does_the_game_contain_any_content_that_can_substantially_0e8549e7__no
273,answer__does_the_game_contain_any_content_that_can_substantially_0e8549e7__yes
274,answer__does_the_game_contain_any_content_that_can_substantially_0e8549e7__inactive
275,answer__does_the_game_contain_any_content_that_can_substantially_0e8549e7__not_applicable
276,answer__does_the_game_contain_any_potentially_offensive_language_3a42be1b__no
277,answer__does_the_game_contain_any_potentially_offensive_language_3a42be1b__yes
278,answer__does_the_game_contain_any_potentially_offensive_language_3a42be1b__inactive
279,answer__does_the_game_contain_any_potentially_offensive_language_3a42be1b__not_applicable
280,answer__does_the_game_contain_any_reference_to_or_use_of_drugs_a_10f81ced__no
281,answer__does_the_game_contain_any_reference_to_or_use_of_drugs_a_10f81ced__yes
282,answer__does_the_game_contain_any_reference_to_or_use_of_drugs_a_10f81ced__inactive
283,answer__does_the_game_contain_any_reference_to_or_use_of_drugs_a_10f81ced__not_applicable
284,answer__does_the_game_contain_any_swastikas_other_nazi_symbols_o_b8cf710d__no
285,answer__does_the_game_contain_any_swastikas_other_nazi_symbols_o_b8cf710d__yes
286,answer__does_the_game_contain_any_swastikas_other_nazi_symbols_o_b8cf710d__inactive
287,answer__does_the_game_contain_any_swastikas_other_nazi_symbols_o_b8cf710d__not_applicable
288,answer__does_the_game_contain_gambling_simulations_of_casino_gam_251e14df__no
289,answer__does_the_game_contain_gambling_simulations_of_casino_gam_251e14df__yes
290,answer__does_the_game_contain_gambling_simulations_of_casino_gam_251e14df__inactive
291,answer__does_the_game_contain_gambling_simulations_of_casino_gam_251e14df__not_applicable
292,answer__does_the_game_contain_inferences_of_references_to_or_dep_a40be1cf__no
293,answer__does_the_game_contain_inferences_of_references_to_or_dep_a40be1cf__yes
294,answer__does_the_game_contain_inferences_of_references_to_or_dep_a40be1cf__inactive
295,answer__does_the_game_contain_inferences_of_references_to_or_dep_a40be1cf__not_applicable
296,answer__does_the_game_contain_inferences_of_references_to_or_dep_a60327ce__no
297,answer__does_the_game_contain_inferences_of_references_to_or_dep_a60327ce__yes
298,answer__does_the_game_contain_inferences_of_references_to_or_dep_a60327ce__inactive
299,answer__does_the_game_contain_inferences_of_references_to_or_dep_a60327ce__not_applicable
300,answer__does_the_game_contain_pictures_or_sounds_likely_to_be_sc_954ee2f8__no
301,answer__does_the_game_contain_pictures_or_sounds_likely_to_be_sc_954ee2f8__yes
302,answer__does_the_game_contain_pictures_or_sounds_likely_to_be_sc_954ee2f8__inactive
303,answer__does_the_game_contain_pictures_or_sounds_likely_to_be_sc_954ee2f8__not_applicable
304,answer__does_the_game_contain_realistic_descriptions_of_crimes_e_7a9af535__no
305,answer__does_the_game_contain_realistic_descriptions_of_crimes_e_7a9af535__yes
306,answer__does_the_game_contain_realistic_descriptions_of_crimes_e_7a9af535__inactive
307,answer__does_the_game_contain_realistic_descriptions_of_crimes_e_7a9af535__not_applicable
308,answer__does_the_game_have_a_pixelated_or_childlike_style_7003dd1d__no
309,answer__does_the_game_have_a_pixelated_or_childlike_style_7003dd1d__yes
310,answer__does_the_game_have_a_pixelated_or_childlike_style_7003dd1d__inactive
311,answer__does_the_game_have_a_pixelated_or_childlike_style_7003dd1d__not_applicable
312,answer__does_the_game_have_a_pixelated_or_childlike_style_df8228d5__no
313,answer__does_the_game_have_a_pixelated_or_childlike_style_df8228d5__yes_it_has_a_childlike_style_e_g_likely_to_appeal_to_younger_children
314,answer__does_the_game_have_a_pixelated_or_childlike_style_df8228d5__yes_it_has_a_pixelated_style
315,answer__does_the_game_have_a_pixelated_or_childlike_style_df8228d5__inactive
316,answer__does_the_game_have_a_pixelated_or_childlike_style_df8228d5__not_applicable
317,answer__does_the_game_have_a_system_for_players_to_trade_items_w_540e69c1__no
318,answer__does_the_game_have_a_system_for_players_to_trade_items_w_540e69c1__yes
319,answer__does_the_game_have_a_system_for_players_to_trade_items_w_540e69c1__inactive
320,answer__does_the_game_have_a_system_for_players_to_trade_items_w_540e69c1__not_applicable
321,answer__does_the_game_include_chat_moderation_f5949739__no
322,answer__does_the_game_include_chat_moderation_f5949739__yes
323,answer__does_the_game_include_chat_moderation_f5949739__inactive
324,answer__does_the_game_include_chat_moderation_f5949739__not_applicable
325,answer__does_the_game_include_the_ability_or_requirement_to_make_87aee7ff__no
326,answer__does_the_game_include_the_ability_or_requirement_to_make_87aee7ff__yes
327,answer__does_the_game_include_the_ability_or_requirement_to_make_87aee7ff__inactive
328,answer__does_the_game_include_the_ability_or_requirement_to_make_87aee7ff__not_applicable
329,answer__does_the_game_include_the_ability_or_requirement_to_wage_2d25b462__no
330,answer__does_the_game_include_the_ability_or_requirement_to_wage_2d25b462__yes
331,answer__does_the_game_include_the_ability_or_requirement_to_wage_2d25b462__inactive
332,answer__does_the_game_include_the_ability_or_requirement_to_wage_2d25b462__not_applicable
333,answer__does_the_game_include_the_ability_or_requirement_to_wage_3f5a30fa__no
334,answer__does_the_game_include_the_ability_or_requirement_to_wage_3f5a30fa__yes
335,answer__does_the_game_include_the_ability_or_requirement_to_wage_3f5a30fa__inactive
336,answer__does_the_game_include_the_ability_or_requirement_to_wage_3f5a30fa__not_applicable
337,answer__does_the_game_include_the_ability_or_requirement_to_wage_c8e71373__no
338,answer__does_the_game_include_the_ability_or_requirement_to_wage_c8e71373__yes
339,answer__does_the_game_include_the_ability_or_requirement_to_wage_c8e71373__inactive
340,answer__does_the_game_include_the_ability_or_requirement_to_wage_c8e71373__not_applicable
341,answer__does_the_game_include_the_ability_to_block_users_or_user_ae7dcc61__no
342,answer__does_the_game_include_the_ability_to_block_users_or_user_ae7dcc61__yes
343,answer__does_the_game_include_the_ability_to_block_users_or_user_ae7dcc61__inactive
344,answer__does_the_game_include_the_ability_to_block_users_or_user_ae7dcc61__not_applicable
345,answer__does_the_game_include_the_ability_to_report_users_or_use_5e66cfbc__no
346,answer__does_the_game_include_the_ability_to_report_users_or_use_5e66cfbc__yes
347,answer__does_the_game_include_the_ability_to_report_users_or_use_5e66cfbc__inactive
348,answer__does_the_game_include_the_ability_to_report_users_or_use_5e66cfbc__not_applicable
349,answer__does_the_game_include_the_purchase_or_sale_of_digital_go_9a08ca09__no
350,answer__does_the_game_include_the_purchase_or_sale_of_digital_go_9a08ca09__yes
351,answer__does_the_game_include_the_purchase_or_sale_of_digital_go_9a08ca09__inactive
352,answer__does_the_game_include_the_purchase_or_sale_of_digital_go_9a08ca09__not_applicable
353,answer__does_the_game_natively_allow_users_to_interact_or_exchan_a4531922__no
